area,lat,lon,crime_rate
Karol Bagh,28.6519,77.1909,4.27
Paharganj,28.6446,77.2167,4.27
Rajendra Place,28.6425,77.1783,4.27

Lajpat Nagar,28.5677,77.2431,9.15
Defence Colony,28.5716,77.2344,9.15
Nehru Place,28.5490,77.2510,9.15
Kalkaji,28.5493,77.2588,9.15

Connaught Place,28.6315,77.2167,1.0
Barakhamba Road,28.6290,77.2280,1.0
Janpath,28.6289,77.2180,1.0

Pitampura,28.7033,77.1322,3.90
Rani Bagh,28.6870,77.1320,3.90
Shalimar Bagh,28.7161,77.1600,3.90

Chandni Chowk,28.6562,77.2300,8.28
Daryaganj,28.6449,77.2403,8.28
Jama Masjid,28.6507,77.2334,8.28

Rohini,28.7041,77.1025,6.44
Mangolpuri,28.6889,77.0910,6.44
Narela,28.8520,77.0920,6.44

Dwarka,28.5921,77.0460,10.0
Najafgarh,28.6097,77.0340,10.0
Palam,28.5900,77.0730,10.0

Saket,28.5245,77.2066,8.51
Hauz Khas,28.5494,77.2001,8.51
Malviya Nagar,28.5350,77.2100,8.51

Janakpuri,28.6219,77.0878,9.07
Tilak Nagar,28.6367,77.0940,9.07
Vikaspuri,28.6375,77.0745,9.07
